PClass,Age,Sex,Survived
1st,29,female,1
1st,2,female,0
1st,30,male,0
1st,25,female,0
1st,0.92,male,1
1st,47,male,1
1st,63,female,1
1st,39,male,0
1st,58,female,1
1st,71,male,0
1st,47,male,0
1st,19,female,1
1st,NA,female,1
1st,NA,male,1
1st,NA,male,0
1st,50,female,1
1st,24,male,0
1st,36,male,0
1st,37,male,1
1st,47,female,1
1st,26,male,1
1st,25,male,0
1st,25,male,1
1st,19,female,1
1st,28,male,1
1st,45,male,0
1st,39,male,1
1st,30,female,1
1st,58,female,1
1st,NA,male,0
1st,45,female,1
1st,22,female,1
1st,NA,male,1
1st,41,male,0
1st,48,male,0
1st,NA,male,0
1st,44,female,1
1st,59,female,1
1st,60,female,1
1st,45,male,0
1st,NA,male,1
1st,53,female,1
1st,58,female,1
1st,36,male,1
1st,33,male,0
1st,NA,male,0
1st,NA,male,0
1st,36,male,1
1st,36,female,1
1st,14,female,1
1st,11,male,1
1st,49,male,0
1st,NA,female,1
1st,36,male,0
1st,NA,female,1
1st,46,male,0
1st,47,female,1
1st,27,male,1
1st,31,female,1
1st,NA,female,1
1st,NA,male,1
1st,NA,female,1
1st,NA,male,0
1st,27,male,0
1st,26,female,1
1st,NA,male,0
1st,NA,male,0
1st,64,female,1
1st,37,male,0
1st,39,female,1
1st,55,female,1
1st,NA,male,0
1st,70,male,0
1st,69,female,1
1st,36,female,1
1st,39,male,0
1st,38,female,1
1st,NA,male,1
1st,27,male,1
1st,31,male,0
1st,27,female,1
1st,NA,female,1
1st,31,male,1
1st,17,female,1
1st,NA,male,1
1st,NA,female,1
1st,4,male,1
1st,27,female,1
1st,50,male,0
1st,48,female,1
1st,49,male,1
1st,48,female,1
1st,39,male,0
1st,23,female,1
1st,53,female,1
1st,36,female,0
1st,NA,female,1
1st,NA,male,1
1st,30,male,0
1st,24,female,1
1st,19,male,0
1st,28,female,1
1st,23,female,1
1st,64,male,0
1st,60,female,1
1st,NA,male,0
1st,49,male,1
1st,NA,female,1
1st,44,male,1
1st,22,female,1
1st,60,male,1
1st,48,female,1
1st,37,male,0
1st,35,female,1
1st,47,male,0
1st,22,female,1
1st,45,female,1
1st,49,male,1
1st,NA,female,1
1st,71,male,0
1st,54,male,1
1st,38,male,0
1st,19,female,1
1st,58,female,1
1st,45,female,1
1st,23,male,1
1st,46,male,0
1st,25,male,1
1st,21,female,1
1st,48,male,1
1st,49,female,1
1st,45,male,0
1st,36,female,1
1st,NA,male,1
1st,55,male,0
1st,52,female,1
1st,24,female,1
1st,NA,male,0
1st,NA,male,0
1st,NA,male,0
1st,16,female,1
1st,44,female,1
1st,51,female,1
1st,42,male,0
1st,35,female,1
1st,35,male,1
1st,38,male,1
1st,35,female,1
1st,NA,male,0
1st,50,female,0
1st,49,male,1
1st,46,male,0
1st,NA,male,0
1st,58,male,0
1st,41,male,0
1st,NA,female,1
1st,42,male,1
1st,40,female,1
1st,NA,male,0
1st,NA,female,1
1st,NA,male,0
1st,42,male,0
1st,55,female,1
1st,50,female,1
1st,16,female,1
1st,NA,male,0
1st,29,male,0
1st,21,female,1
1st,30,male,0
1st,15,female,1
1st,30,male,0
1st,NA,male,1
1st,NA,male,0
1st,NA,female,1
1st,46,male,0
1st,54,male,0
1st,36,male,1
1st,28,male,0
1st,NA,female,1
1st,65,male,0
1st,33,female,1
1st,44,male,0
1st,37,female,1
1st,NA,male,1
1st,55,male,0
1st,47,male,0
1st,36,male,0
1st,58,male,0
1st,31,female,1
1st,23,female,1
1st,19,female,1
1st,64,male,0
1st,NA,male,1
1st,64,male,0
1st,22,female,1
1st,28,male,0
1st,NA,male,0
1st,NA,male,0
1st,22,male,0
1st,NA,male,0
1st,NA,female,1
1st,18,male,0
1st,17,female,1
1st,52,male,1
1st,46,male,0
1st,56,female,1
1st,NA,male,0
1st,NA,male,1
1st,43,female,1
1st,31,male,0
1st,NA,male,1
1st,NA,male,0
1st,33,female,1
1st,NA,male,0
1st,27,female,1
1st,55,male,0
1st,54,female,1
1st,NA,male,0
1st,61,male,0
1st,48,female,1
1st,18,female,1
1st,13,male,1
1st,21,female,1
1st,NA,male,1
1st,NA,male,1
1st,NA,female,1
1st,34,male,1
1st,40,female,1
1st,36,male,1
1st,50,male,0
1st,39,female,1
1st,56,male,1
1st,28,male,1
1st,56,male,0
1st,56,male,0
1st,24,male,0
1st,18,female,1
1st,NA,male,0
1st,24,male,1
1st,23,female,1
1st,45,male,1
1st,40,female,1
1st,6,male,1
1st,57,male,0
1st,NA,female,1
1st,32,male,1
1st,62,male,0
1st,54,male,1
1st,43,female,1
1st,52,female,1
1st,NA,male,0
1st,62,female,1
1st,67,male,0
1st,63,female,0
1st,61,male,0
1st,46,female,1
1st,52,male,0
1st,39,female,1
1st,18,female,1
1st,48,male,1
1st,NA,female,1
1st,49,male,0
1st,39,female,1
1st,17,male,1
1st,46,male,0
1st,NA,female,1
1st,31,male,1
1st,NA,male,0
1st,61,male,0
1st,47,male,0
1st,64,male,0
1st,60,female,1
1st,60,male,0
1st,55,female,1
1st,54,male,0
1st,21,male,0
1st,57,male,0
1st,45,female,1
1st,31,female,1
1st,50,male,0
1st,50,female,1
1st,27,male,0
1st,20,female,1
1st,51,male,0
1st,NA,male,0
1st,21,male,1
1st,NA,male,1
1st,NA,male,0
1st,36,female,1
1st,NA,female,1
1st,NA,female,1
1st,NA,female,1
1st,NA,female,1
1st,NA,female,1
1st,NA,female,1
1st,NA,female,1
1st,NA,female,1
1st,NA,female,1
1st,NA,female,1
1st,NA,male,0
1st,NA,female,0
1st,NA,female,1
1st,NA,male,0
1st,NA,female,1
1st,NA,male,0
1st,NA,male,0
1st,40,male,0
1st,NA,male,0
1st,NA,female,1
1st,32,male,0
1st,NA,female,1
1st,NA,female,1
1st,NA,male,0
1st,NA,female,1
1st,NA,female,0
1st,NA,female,1
1st,33,male,0
1st,NA,male,0
1st,NA,female,1
1st,NA,female,0
1st,NA,female,0
1st,NA,female,1
2nd,30,male,0
2nd,28,female,1
2nd,18,male,0
2nd,NA,male,0
2nd,34,male,0
2nd,32,female,1
2nd,57,male,0
2nd,18,male,0
2nd,23,male,0
2nd,36,female,1
2nd,28,male,0
2nd,51,male,0
2nd,32,male,1
2nd,19,female,1
2nd,28,male,0
2nd,36,female,1
2nd,4,female,1
2nd,1,male,1
2nd,12,female,1
2nd,34,male,1
2nd,19,female,1
2nd,23,male,0
2nd,26,male,0
2nd,NA,male,0
2nd,27,male,0
2nd,15,female,1
2nd,45,male,0
2nd,40,female,1
2nd,20,female,1
2nd,25,male,0
2nd,36,female,1
2nd,25,male,0
2nd,NA,male,0
2nd,42,female,1
2nd,26,male,1
2nd,26,female,1
2nd,0.83,male,1
2nd,31,female,1
2nd,NA,male,0
2nd,19,male,0
2nd,54,male,0
2nd,44,female,0
2nd,52,male,0
2nd,30,male,0
2nd,30,female,0
2nd,NA,female,1
2nd,NA,female,1
2nd,29,male,0
2nd,NA,female,1
2nd,29,male,0
2nd,27,male,0
2nd,24,male,1
2nd,35,male,0
2nd,31,female,1
2nd,8,female,1
2nd,22,female,0
2nd,30,female,0
2nd,NA,female,0
2nd,20,male,0
2nd,NA,male,0
2nd,21,male,0
2nd,49,female,1
2nd,8,male,1
2nd,28,female,1
2nd,18,male,0
2nd,NA,male,0
2nd,28,male,0
2nd,22,female,1
2nd,25,male,0
2nd,18,male,0
2nd,32,female,1
2nd,18,female,1
2nd,NA,male,0
2nd,42,male,0
2nd,34,female,1
2nd,8,male,1
2nd,NA,female,1
2nd,NA,female,1
2nd,23,male,0
2nd,21,male,0
2nd,19,male,0
2nd,NA,male,0
2nd,NA,female,1
2nd,NA,male,0
2nd,38,male,0
2nd,NA,male,0
2nd,38,female,0
2nd,35,male,0
2nd,35,male,0
2nd,38,male,0
2nd,24,female,1
2nd,16,male,0
2nd,26,male,0
2nd,45,male,0
2nd,24,male,0
2nd,21,male,0
2nd,22,male,0
2nd,NA,male,0
2nd,34,male,0
2nd,30,male,0
2nd,50,male,0
2nd,30,male,0
2nd,23,female,1
2nd,1,male,1
2nd,44,male,0
2nd,28,male,0
2nd,6,female,1
2nd,30,male,1
2nd,NA,male,0
2nd,43,male,0
2nd,45,female,1
2nd,7,female,1
2nd,24,female,1
2nd,24,female,1
2nd,49,male,0
2nd,48,female,1
2nd,NA,female,1
2nd,34,male,0
2nd,32,male,0
2nd,21,male,0
2nd,18,female,0
2nd,53,female,1
2nd,23,male,0
2nd,21,female,1
2nd,NA,male,0
2nd,52,male,0
2nd,42,male,0
2nd,36,female,1
2nd,21,male,0
2nd,41,male,1
2nd,NA,male,0
2nd,NA,female,0
2nd,33,male,0
2nd,17,female,1
,NA,male,0
2nd,NA,female,1
2nd,NA,male,0
2nd,NA,male,0
2nd,NA,male,0
2nd,NA,male,0
2nd,23,female,1
2nd,34,male,0
2nd,NA,female,1
2nd,22,female,0
2nd,NA,male,0
2nd,NA,female,1
2nd,45,female,1
2nd,NA,male,0
2nd,NA,male,0
2nd,31,male,0
2nd,30,male,0
2nd,26,female,0
2nd,NA,male,0
2nd,34,female,1
2nd,26,male,0
2nd,22,female,1
2nd,1,female,1
2nd,3,female,1
2nd,NA,female,1
2nd,NA,female,1
2nd,NA,male,0
2nd,25,male,0
2nd,NA,male,0
2nd,48,male,0
2nd,NA,female,1
2nd,57,female,0
2nd,NA,male,0
2nd,NA,male,0
2nd,NA,female,1
2nd,2,male,1
2nd,NA,male,0
2nd,27,male,0
2nd,19,female,1
2nd,30,male,0
2nd,20,male,0
2nd,45,male,0
2nd,NA,male,0
2nd,46,male,0
2nd,41,female,1
2nd,13,female,1
2nd,19,male,1
2nd,30,male,0
2nd,48,male,0
2nd,71,male,0
2nd,54,male,0
2nd,NA,male,0
2nd,NA,male,0
2nd,64,male,0
2nd,32,male,0
2nd,18,female,1
2nd,2,male,1
2nd,32,male,0
2nd,3,male,1
2nd,26,male,0
2nd,19,male,0
2nd,NA,male,0
2nd,20,male,1
2nd,29,female,1
2nd,39,male,0
2nd,22,male,1
2nd,NA,male,1
2nd,24,male,0
2nd,NA,male,1
2nd,28,male,0
2nd,NA,male,0
2nd,50,female,1
2nd,20,male,0
2nd,40,male,0
2nd,42,female,1
2nd,21,male,0
2nd,32,female,1
2nd,34,male,0
2nd,NA,male,1
2nd,NA,male,0
2nd,33,female,1
2nd,2,female,1
2nd,8,female,1
2nd,36,male,0
2nd,34,male,0
2nd,30,female,1
2nd,28,female,1
2nd,23,male,0
2nd,0.8,male,1
2nd,25,female,1
2nd,3,male,1
2nd,50,female,1
2nd,NA,male,0
2nd,21,female,1
2nd,NA,male,0
2nd,NA,male,0
2nd,25,female,1
2nd,18,female,1
2nd,20,female,1
2nd,30,female,1
2nd,59,male,0
2nd,30,female,1
2nd,35,male,0
2nd,22,male,0
2nd,NA,female,1
2nd,25,male,0
2nd,41,male,0
2nd,25,male,0
2nd,14,male,0
2nd,50,female,1
2nd,22,male,0
2nd,NA,female,1
2nd,27,female,1
2nd,29,male,0
2nd,27,female,0
2nd,30,male,0
2nd,22,male,0
2nd,35,female,1
2nd,30,male,0
2nd,28,female,1
2nd,23,male,0
2nd,NA,male,0
2nd,12,female,1
2nd,40,female,1
2nd,36,female,1
2nd,28,male,0
2nd,32,female,1
2nd,29,female,1
2nd,4,female,1
2nd,2,male,1
2nd,NA,female,1
2nd,NA,female,1
2nd,36,male,0
2nd,33,female,1
2nd,NA,male,0
2nd,NA,male,0
2nd,NA,male,0
2nd,32,male,1
2nd,NA,female,1
2nd,NA,male,1
2nd,26,female,1
2nd,NA,female,0
2nd,30,male,0
2nd,24,female,1
2nd,NA,male,0
2nd,18,male,0
3rd,42,male,0
3rd,13,male,0
3rd,16,male,0
3rd,35,female,1
3rd,16,female,1
3rd,25,male,1
3rd,18,female,1
3rd,20,male,1
3rd,30,male,0
3rd,26,male,0
3rd,40,female,0
3rd,24,male,0
3rd,41,male,0
3rd,18,female,1
3rd,0.83,male,1
3rd,23,male,0
3rd,20,male,0
3rd,25,male,0
3rd,35,male,0
3rd,17,male,0
3rd,32,male,0
3rd,20,male,0
3rd,39,male,0
3rd,39,female,0
3rd,6,female,0
3rd,2,female,0
3rd,17,female,1
3rd,38,female,0
3rd,9,female,0
3rd,26,male,0
3rd,11,female,0
3rd,4,male,0
3rd,20,male,0
3rd,26,male,0
3rd,25,male,0
3rd,18,female,0
3rd,24,male,0
3rd,35,male,0
3rd,40,male,0
3rd,38,female,1
3rd,5,male,0
3rd,9,male,0
3rd,3,male,1
3rd,13,male,0
3rd,23,male,1
3rd,5,female,1
3rd,NA,male,0
3rd,45,female,1
3rd,23,male,0
3rd,17,female,0
3rd,27,male,0
3rd,23,male,0
3rd,20,male,0
3rd,32,male,0
3rd,33,female,1
3rd,3,female,1
3rd,NA,female,1
3rd,NA,female,1
3rd,NA,female,1
3rd,18,female,1
3rd,40,male,0
3rd,26,male,0
3rd,15,female,1
3rd,45,female,0
3rd,18,female,0
3rd,27,female,0
3rd,22,male,0
3rd,19,male,0
3rd,26,male,0
3rd,22,male,0
3rd,20,male,0
3rd,32,male,1
3rd,21,male,0
3rd,18,male,0
3rd,26,male,0
3rd,6,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,9,female,0
3rd,40,male,0
3rd,32,female,0
3rd,NA,female,0
3rd,26,male,0
3rd,18,female,1
3rd,20,female,0
3rd,NA,male,0
3rd,29,male,0
3rd,22,male,0
3rd,22,male,0
3rd,35,male,0
3rd,21,male,1
3rd,20,female,0
3rd,19,male,0
3rd,18,female,0
3rd,18,male,0
3rd,38,male,0
3rd,NA,male,0
3rd,30,male,0
3rd,17,male,0
3rd,21,female,0
3rd,21,male,0
3rd,21,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,24,male,0
3rd,33,male,0
3rd,33,male,0
3rd,28,male,0
3rd,16,female,1
3rd,37,female,0
3rd,28,male,0
3rd,NA,male,1
3rd,24,male,0
3rd,21,male,0
3rd,NA,male,0
3rd,32,male,0
3rd,29,male,0
3rd,26,male,0
3rd,18,male,0
3rd,20,male,0
3rd,19,male,1
3rd,24,male,0
3rd,24,male,0
3rd,36,male,0
3rd,31,male,0
3rd,31,male,0
3rd,30,female,0
3rd,22,female,1
3rd,NA,male,0
3rd,43,male,0
3rd,35,male,0
3rd,27,male,0
3rd,19,male,0
3rd,30,male,0
3rd,36,female,1
3rd,3,male,1
3rd,9,male,1
3rd,59,male,0
3rd,19,male,0
3rd,44,male,0
3rd,17,female,1
3rd,NA,male,0
3rd,45,male,1
3rd,22,female,0
3rd,19,male,0
3rd,29,male,1
3rd,30,female,1
3rd,34,male,0
3rd,28,female,0
3rd,0.33,male,0
3rd,27,male,0
3rd,25,male,0
3rd,24,male,0
3rd,22,male,0
3rd,21,male,0
3rd,17,male,0
3rd,NA,male,0
3rd,NA,female,1
3rd,26,male,0
3rd,33,female,1
3rd,1,male,1
3rd,0.17,female,1
3rd,25,male,0
3rd,36,male,1
3rd,36,female,1
3rd,30,male,1
3rd,NA,male,0
3rd,23,male,0
3rd,26,male,0
3rd,19,female,1
3rd,65,male,0
3rd,NA,male,0
3rd,42,male,0
3rd,43,male,0
3rd,32,male,0
3rd,19,male,1
3rd,30,female,1
3rd,24,female,0
3rd,23,female,1
3rd,NA,male,0
3rd,24,female,1
3rd,24,male,1
3rd,23,male,0
3rd,22,female,1
3rd,NA,male,0
3rd,18,male,0
3rd,16,male,0
3rd,45,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,47,male,0
3rd,5,female,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,male,0
3rd,21,female,0
3rd,18,male,0
3rd,9,female,0
3rd,48,female,0
3rd,16,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,25,male,0
3rd,NA,male,0
3rd,38,female,1
3rd,22,male,0
3rd,16,female,1
3rd,NA,female,1
3rd,33,male,0
3rd,NA,female,1
3rd,9,male,1
3rd,41,male,0
3rd,38,male,0
3rd,40,male,0
3rd,43,female,0
3rd,14,male,0
3rd,16,female,0
3rd,9,male,0
3rd,10,female,0
3rd,6,male,0
3rd,11,male,0
3rd,40,male,0
3rd,32,male,0
3rd,NA,male,0
3rd,20,male,0
3rd,37,male,0
3rd,28,male,0
3rd,19,male,0
3rd,24,female,0
3rd,17,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,28,male,0
3rd,24,female,1
3rd,20,male,0
3rd,41,male,0
3rd,45,female,1
3rd,26,male,0
3rd,21,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,27,male,1
3rd,NA,male,0
3rd,18,female,0
3rd,26,female,1
3rd,23,female,0
3rd,22,female,1
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,female,0
3rd,28,female,0
3rd,22,female,1
3rd,2,female,0
3rd,43,male,0
3rd,NA,male,0
3rd,27,female,1
3rd,NA,male,0
3rd,NA,female,1
3rd,42,male,0
3rd,NA,male,1
3rd,NA,male,0
3rd,27,female,0
3rd,25,female,0
3rd,NA,male,0
3rd,27,male,1
3rd,NA,male,0
3rd,19,female,1
3rd,20,male,0
3rd,48,male,0
3rd,17,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,34,male,0
3rd,22,male,0
3rd,33,male,0
3rd,32,male,1
3rd,29,male,0
3rd,26,male,1
3rd,49,male,0
3rd,1,female,1
3rd,33,male,0
3rd,4,male,1
3rd,24,female,0
3rd,19,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,32,male,1
3rd,27,male,0
3rd,21,female,0
3rd,32,male,1
3rd,20,female,0
3rd,17,male,0
3rd,21,male,0
3rd,30,male,0
3rd,21,male,1
3rd,23,male,0
3rd,22,male,0
3rd,4,female,1
3rd,39,male,0
3rd,NA,male,0
3rd,20,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,21,female,1
3rd,44,male,0
3rd,42,male,0
3rd,21,female,1
3rd,24,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,25,male,0
3rd,22,male,0
3rd,22,male,0
3rd,39,male,1
3rd,26,female,0
3rd,4,female,1
3rd,22,female,0
3rd,26,male,0
3rd,1.5,female,0
3rd,36,female,0
3rd,18,male,0
3rd,NA,male,0
3rd,25,male,1
3rd,NA,male,0
3rd,37,female,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,male,0
3rd,22,female,1
3rd,20,male,0
3rd,26,male,1
3rd,29,male,0
3rd,29,male,0
3rd,22,male,0
3rd,NA,male,1
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,female,0
3rd,NA,female,0
3rd,32,male,0
3rd,NA,male,0
3rd,21,male,0
3rd,21,female,0
3rd,36,male,0
3rd,39,male,0
3rd,25,female,0
3rd,45,female,0
3rd,36,male,0
3rd,30,female,0
3rd,20,male,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,female,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,female,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,female,0
3rd,23,female,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,female,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,female,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,female,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,female,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,21,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,1
3rd,1.5,female,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,1
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,female,0
3rd,NA,male,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,female,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,25,male,1
3rd,NA,female,0
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,male,0
3rd,18,female,1
3rd,63,female,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,18,female,0
3rd,31,male,0
3rd,31,female,0
3rd,15,male,0
3rd,28,male,0
3rd,36,male,0
3rd,28,male,0
3rd,10,female,0
3rd,36,male,0
3rd,30,female,0
3rd,22,male,1
3rd,NA,male,0
3rd,29,male,0
3rd,47,male,0
3rd,14,female,0
3rd,22,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,1
3rd,NA,male,0
3rd,51,male,0
3rd,18,male,0
3rd,45,female,1
3rd,NA,male,0
3rd,NA,male,0
3rd,NA,male,0
3rd,28,male,0
3rd,21,male,0
3rd,27,male,0
3rd,NA,male,0
3rd,36,male,0
3rd,NA,male,1
3rd,27,male,0
3rd,15,female,1
3rd,NA,male,0
3rd,NA,female,0
3rd,NA,female,0
3rd,27,male,0
3rd,26,male,0
3rd,22,male,0
3rd,24,male,0
3rd,29,male,0
